title,subtitle,quantity,price_per_metric,promo_message,old_price,discount,new_price,eye_catcher,additional_offers,category_id,url,availability
Cartofi albi,,kg,,,"1,19",- 33%,"0,79",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09700251.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Spanac baby,,2 la preț de 1,,,"8,78",- 50%,"4,39",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09700320.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Roşii Cherry ciorchine,,caserolă 500 g,,,"6,49",- 32%,"4,39",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09700461.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Schlumbergera,,buc,,,,,"7,99",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09900450.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Anthurium,,buc,,,,,"29,99",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09901130.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Linguri,,1 set,,,"12,99",- 38%,"7,99",,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00022534.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Furculiţe,,1 set,,,"13,99",- 42%,"7,99",,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00022536.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Caserole cu capac,,1 set,,,,,"22,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00076229.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bormioli,Farfurie întinsă,1 buc,,,,,"3,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00081363.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bormioli,Farfurie adâncă,1 buc,,,,,"3,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00081365.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bormioli,Farfurie desert,1 buc,,,,,"3,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00081366.html,Valabilitate: din 21.10.2020 până în 27.10.2020
