page_number,chars,x0,x1,y0,y1,labels
6,Rom cel Dublu,226.73385,279.31785,335.60309,343.60309,35
6,60 g,226.73385,243.38985,326.00307999999995,334.00307999999995,36
6,BURN Băutură  energizantă,284.88177,342.13177,264.3212,298.3212,37
6,regular / măr şi kiwi / ,284.88186,365.00906000000003,254.43767999999997,262.43768,38
6,"fără zahăr doză 0,25 l",284.88186,323.5298600000001,225.3577,252.83768999999998,39
6,TUC  ORIGINAL Biscuiţi  săraţi,17.67397,67.51397000000001,605.78723,651.78723,40
6,diverse  sortimente 100 g,17.67417,57.81817,576.70392,603.90387,41
6,TYMBARK  FONTEA Băutură  răcoritoare  necarboga- zoasă,393.16287,449.83287,144.93028,214.93027999999998,42
6,mere / lămâie/  zmeură lime,393.16296,449.50616,125.44679,143.04678,43
6,"pet 1,5 l",393.16296,407.90696,105.96678999999999,123.56679,44
6,TASSIMO  JACOBS Cafea capsule,14.12907,80.33906999999998,326.21648999999996,360.21648999999996,45
6,diverse sortimente,14.129170000000002,82.49637000000001,316.3331,324.3331,46
6,96-264 g,14.129170000000002,47.96917,306.73309,314.73309,47
6,TCHIBO Cafea  măcinată,140.29907,185.13907,248.54717999999997,282.54717999999997,48
6,Exclusive  intense 250 g,140.29916,175.23436,219.46379,246.66378999999998,49
6,S6-RO-KW43-KDZ-REDLM2_L-1000-07,10.99659,117.50259,12.53856,18.53856,50
6,6,10.92859,16.89859,22.77715,32.77715,51
7,Nu ne asumăm răspunderea pentru eventualele greșeli de tipar. Toate imaginile sunt cu titlu de prezentare.,11.338569999999999,343.2190699999999,11.33849,18.33849,0
7,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚI .,13.71367,539.414677264832,786.46502,810.36189,1
7,.,140.70698000000002,144.94445,792.63189,810.36189,2
7,.,408.18216,412.41963,792.63189,810.36189,3
7,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚI,14.227269,537.3474723683776,80.89108900000002,136.1570184461068,4
7,.,140.48106800000002,143.47140449648202,95.901691,113.88408800989842,5
7,.,276.300881,279.29121749648203,105.39908500000001,123.38148200989838,6
7,.,407.30476400000003,410.295100496482,114.55979099999999,132.54218800989838,7
7, în zilele de 19 și 20 octombrie.,20.946367,229.52460820960002,57.947345,88.5715266384,8
