,Char,x0,x1,width,y0,y1,height
110,I,325.49625,327.51585,2.0196000000000254,47.57959,54.179590000000005,6.600000000000001
111, ,327.35085,329.06685,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
112,M,328.90185,334.69665000000003,5.794800000000009,47.57959,54.179590000000005,6.600000000000001
113,A,334.56465000000003,339.48165,4.916999999999973,47.57959,54.179590000000005,6.600000000000001
114,R,339.34965,343.69245,4.342800000000011,47.57959,54.179590000000005,6.600000000000001
115,Ț,343.35519,347.62539,4.2701999999999884,47.57959,54.179590000000005,6.600000000000001
116,I,347.49339,349.51299,2.0196000000000254,47.57959,54.179590000000005,6.600000000000001
117,",",349.34865,350.92605000000003,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
118, ,350.72805,352.44405,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
119,1,352.24605,355.11045,2.864399999999989,47.57959,54.179590000000005,6.600000000000001
120,2,354.91245,358.78004999999996,3.8675999999999817,47.57959,54.179590000000005,6.600000000000001
121,-,358.58205,361.10985,2.5278000000000134,47.57959,54.179590000000005,6.600000000000001
122,1,360.91185,363.77625,2.864399999999989,47.57959,54.179590000000005,6.600000000000001
123,3,363.54525,367.46565,3.9203999999999724,47.57959,54.179590000000005,6.600000000000001
124, ,367.26765,368.98365,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
125,o,368.78565,372.71265,3.927000000000021,47.57959,54.179590000000005,6.600000000000001
126,c,372.51465,375.76845000000003,3.2538000000000125,47.57959,54.179590000000005,6.600000000000001
127,t,375.53745,378.41504999999995,2.8775999999999726,47.57959,54.179590000000005,6.600000000000001
128,o,378.08505,382.01205000000004,3.927000000000021,47.57959,54.179590000000005,6.600000000000001
129,m,381.81405,387.55605,5.742000000000019,47.57959,54.179590000000005,6.600000000000001
130,b,387.35805,391.33125,3.97320000000002,47.57959,54.179590000000005,6.600000000000001
131,r,391.13325,393.85904999999997,2.7257999999999925,47.57959,54.179590000000005,6.600000000000001
132,i,393.66105,395.35724999999996,1.6961999999999762,47.57959,54.179590000000005,6.600000000000001
133,e,395.15925,398.84864999999996,3.689399999999978,47.57959,54.179590000000005,6.600000000000001
134,‘,398.65065,400.26105,1.610400000000027,47.57959,54.179590000000005,6.600000000000001
